H.m,H.E,t1.m,t1.E,t2.m,t2.E,H.pt,METx,METy,trueMETx,trueMETy,dm1,pt1,eta1,phi1,mass1,type1,dm2,pt2,eta2,phi2,mass2,type2,covXX,covXY,covYY
125.004425,213.03894,1.77682,133.57751,1.77682,79.46142,81.93909,-14.807215,-10.127379,7.7019386,-24.641197,1,68.27889,0.9055429,-2.7211962,0.6425135,-1,1,38.308346,0.88444287,-0.67435104,3.5045931,-1,303.1640621297727,2.93050529468397,299.52846075415385
125.00118,131.22543,1.77682,52.785427,1.77682,78.44,4.565076,14.839733,-39.23819,1.4794254,-9.616804,1,73.7551,0.4128135,1.8590782,2.6350806,-1,3,36.393257,-1.0494223,-1.3718791,0.1056583755,-1,303.1640621297727,2.93050529468397,299.52846075415385
125.00169,126.69413,1.77682,58.147854,1.77682,68.54628,18.126608,-10.942778,-7.0996475,-2.769772,-7.8193817,1,25.371399,-0.9493609,-2.3564022,1.2826648,-1,1,39.02234,1.0398203,0.30514216,0.1497414,-1,303.1640621297727,2.93050529468397,299.52846075415385
124.99674,804.47595,1.77682,406.10355,1.77682,398.37244,17.946272,2.19237,-11.461778,-4.83385,-11.993842,1,61.511826,2.4403567,1.4435933,0.968629,-1,1,36.434013,2.7016397,-1.8453102,0.5220886,-1,303.1640621297727,2.93050529468397,299.52846075415385
124.992485,244.13588,1.77682,44.34952,1.77682,199.78636,36.79345,-20.780424,-10.619354,-7.795183,-12.204786,1,35.13808,-0.28659487,-0.34158567,1.4220403,-1,1,27.123158,-2.0578022,-2.6655097,0.61075896,-1,303.1640621297727,2.93050529468397,299.52846075415385
125.00552,129.12784,1.77682,57.512173,1.77682,71.61566,21.853443,14.040647,-19.61588,-0.18144779,-14.222633,2,36.563618,0.18422438,2.3762832,0.0005109989499999,-1,1,29.183023,-0.52765334,-1.1291375,0.98859,-1,303.1640621297727,2.93050529468397,299.52846075415385
125.0004,996.53766,1.77682,466.06055,1.77682,530.4771,9.48657,-15.425582,19.863052,-3.0340908,5.9865394,1,39.019623,-2.7183352,2.8056545,-3.8146973e-06,-1,1,48.98427,-2.7038558,-0.20879276,1.9256934,-1,303.1640621297727,2.93050529468397,299.52846075415385
125.01568,197.59659,1.77682,42.65487,1.77682,154.94173,148.90842,42.686928,-79.23424,50.93652,-79.19922,1,30.454075,-0.6576503,0.8167433,1.1981679,-1,3,59.985428,-0.056762744,-1.020456,0.1056583755,-1,303.1640621297727,2.93050529468397,299.52846075415385
124.99446,364.9659,1.77682,241.74355,1.77682,123.22238,88.87367,-4.617689,-29.470276,-5.831214,5.9254727,1,107.36164,-1.3460922,2.1356099,1.3586094,-1,1,22.871817,-2.1512384,-1.0814526,2.2510908,-1,303.1640621297727,2.93050529468397,299.52846075415385
125.00175,138.10316,1.77682,62.616905,1.77682,75.48627,49.267113,-22.95212,-2.2349067,-12.97057,17.751537,1,36.941696,-1.3928332,-0.39524302,7.0393558,-1,1,49.05636,0.34306225,2.231814,0.14835902,-1,303.1640621297727,2.93050529468397,299.52846075415385
125.0011,178.86743,1.77682,37.600376,1.77682,141.26706,6.7022963,7.026221,-22.631441,4.2669845,-9.185457,2,22.386438,-0.23806296,-1.0239226,0.0005109989499999,-1,1,42.161507,1.9569272,2.246724,3.2453134,-1,303.1640621297727,2.93050529468397,299.52846075415385
124.99288,210.40181,1.77682,82.768196,1.77682,127.63362,113.463524,-6.2207513,-48.98701,-25.25757,-44.142166,3,37.28605,0.03051977,-2.1358376,0.1056583755,-1,3,27.28643,2.0275342,-1.6536635,0.1056583755,-1,303.1640621297727,2.93050529468397,299.52846075415385
124.997635,706.9395,1.77682,103.52096,1.77682,603.4185,47.78378,-30.542015,4.5516057,-26.149971,-1.0636457,2,26.633959,-1.5909886,-0.9625345,0.0005109989499999,-1,1,39.773376,-2.7879837,2.8290122,2.9010527,-1,303.1640621297727,2.93050529468397,299.52846075415385
124.9976,422.42664,1.77682,294.2795,1.77682,128.14713,130.35149,-50.556767,-68.809456,-74.75815,-70.27056,1,57.00784,1.3502458,-2.3199158,1.713152,-1,1,27.293016,2.100249,1.8553871,2.1300888,-1,303.1640621297727,2.93050529468397,299.52846075415385
124.99485,391.95053,1.77682,59.779026,1.77682,332.1715,37.606888,5.6210475,-12.709985,-11.95413,3.2965147,1,51.90789,0.84639686,2.6623006,3.6643162,-1,1,40.028114,2.6144555,-1.2366056,2.451714,-1,303.1640621297727,2.93050529468397,299.52846075415385
124.99697,180.92398,1.77682,80.682724,1.77682,100.24125,55.01717,-0.07368289,-42.247486,-8.759272,-39.00429,3,21.22983,-0.55305946,-1.5268229,0.1056583755,-1,2,45.631184,-1.0893743,2.4959142,0.0005109989499999,-1,303.1640621297727,2.93050529468397,299.52846075415385
125.00085,384.34988,1.77682,161.32036,1.77682,223.02954,258.2374,-39.99847,-6.979759,-98.18085,-18.213676,1,57.334915,1.604147,-3.031751,2.9475956,-1,1,118.74648,0.5153715,-2.9683628,3.6847963,-1,303.1640621297727,2.93050529468397,299.52846075415385
124.99887,240.35788,1.77682,105.8439,1.77682,134.51398,121.46157,17.450058,59.55415,38.744827,63.443596,3,27.978945,-0.43230265,1.3128831,0.1056583755,-1,1,39.21658,-1.4951359,-0.08420157,1.4832541,-1,303.1640621297727,2.93050529468397,299.52846075415385
124.99877,216.4548,1.77682,106.619446,1.77682,109.83536,174.8984,-43.97453,66.68053,-31.580667,89.08495,3,36.275658,0.37626073,2.226083,0.1056583755,-1,3,51.80031,-0.6533229,1.4315579,0.1056583755,-1,303.1640621297727,2.93050529468397,299.52846075415385
125.003426,472.86472,1.77682,90.026794,1.77682,382.83792,109.10928,-29.142088,-30.154495,-35.68692,-33.680637,2,15.489382,-1.811163,-1.7060301,0.0005109989499999,-1,1,94.75574,-1.7009099,1.0981973,4.8610296,-1,303.1640621297727,2.93050529468397,299.52846075415385
124.99622,475.04373,1.77682,184.62474,1.77682,290.419,13.172037,6.806306,-5.936688,7.634327,0.0048828493,2,31.923935,-1.7125547,-0.386688,0.0005109989499999,-1,1,35.979362,-2.349078,2.5524728,2.4553866,-1,303.1640621297727,2.93050529468397,299.52846075415385
125.0014,177.95284,1.77682,76.81796,1.77682,101.13488,14.969682,-34.919197,8.772012,-26.356422,11.46222,2,34.219063,-0.55000335,2.7757056,0.0005109989499999,-1,1,56.245464,-1.293346,-0.44997522,1.9216166,-1,303.1640621297727,2.93050529468397,299.52846075415385
125.0011,160.51863,1.77682,50.1715,1.77682,110.34714,38.83093,-57.48081,-11.054755,-44.749058,-19.404411,1,43.91582,-0.10927372,0.9215579,5.542516,-1,1,43.454056,-1.1533481,-2.6528754,9.55621,-1,303.1640621297727,2.93050529468397,299.52846075415385
124.999626,417.35126,1.77682,322.8958,1.77682,94.45546,44.71432,19.690332,-4.56594,22.150276,-5.591673,3,48.62827,2.0114708,-0.057798367,0.1056583755,-1,1,33.229214,1.4563202,-3.004234,0.53386045,-1,303.1640621297727,2.93050529468397,299.52846075415385
